Datetime;Global_active_power;Sub_metering_1;Sub_metering_2;Sub_metering_3
2010-03-11 06:44:00;2.688;0.0;0.0;18.0
2010-03-11 06:45:00;2.408;0.0;0.0;19.0
2010-03-11 06:46:00;3.54;0.0;0.0;18.0
2010-03-11 06:47:00;3.89;0.0;0.0;18.0
2010-03-11 06:48:00;3.032;0.0;0.0;18.0
2010-03-11 06:49:00;2.976;0.0;0.0;19.0
2010-03-11 06:50:00;2.02;0.0;0.0;18.0
2010-03-11 06:51:00;1.8;0.0;0.0;19.0
2010-03-11 06:52:00;1.744;0.0;0.0;18.0
2010-03-11 06:53:00;1.74;0.0;0.0;19.0
2010-03-11 06:54:00;1.796;0.0;0.0;19.0
2010-03-11 06:55:00;1.8;0.0;0.0;18.0
2010-03-11 06:56:00;1.734;0.0;0.0;19.0
2010-03-11 06:57:00;1.696;0.0;0.0;18.0
2010-03-11 06:58:00;1.682;0.0;0.0;18.0
2010-03-11 06:59:00;1.686;0.0;0.0;19.0
2010-03-11 07:00:00;1.7;0.0;0.0;18.0
2010-03-11 07:01:00;1.694;0.0;0.0;18.0
2010-03-11 07:02:00;1.694;0.0;0.0;19.0
2010-03-11 07:03:00;1.696;0.0;0.0;18.0
2010-03-11 07:04:00;1.684;0.0;0.0;18.0
2010-03-11 07:05:00;1.68;0.0;0.0;19.0
2010-03-11 07:06:00;1.68;0.0;0.0;18.0
2010-03-11 07:07:00;1.68;0.0;0.0;18.0
2010-03-11 07:08:00;1.76;0.0;0.0;18.0
2010-03-11 07:09:00;1.778;0.0;0.0;19.0
2010-03-11 07:10:00;1.776;0.0;0.0;18.0
2010-03-11 07:11:00;1.864;0.0;0.0;18.0
2010-03-11 07:12:00;2.102;0.0;0.0;19.0
2010-03-11 07:13:00;2.158;0.0;0.0;18.0
2010-03-11 07:14:00;1.97;0.0;0.0;19.0
2010-03-11 07:15:00;1.918;0.0;0.0;18.0
2010-03-11 07:16:00;1.832;0.0;0.0;19.0
2010-03-11 07:17:00;1.822;0.0;0.0;19.0
2010-03-11 07:18:00;1.818;0.0;0.0;18.0
2010-03-11 07:19:00;1.826;0.0;0.0;19.0
2010-03-11 07:20:00;1.794;0.0;0.0;18.0
2010-03-11 07:21:00;2.028;0.0;0.0;19.0
2010-03-11 07:22:00;1.776;0.0;0.0;18.0
2010-03-11 07:23:00;1.758;0.0;0.0;18.0
2010-03-11 07:24:00;1.95;0.0;0.0;21.0
2010-03-11 07:25:00;2.272;0.0;0.0;27.0
2010-03-11 07:26:00;2.28;0.0;0.0;27.0
2010-03-11 07:27:00;2.308;0.0;0.0;28.0
2010-03-11 07:28:00;2.14;0.0;0.0;23.0
2010-03-11 07:29:00;1.874;0.0;0.0;18.0
2010-03-11 07:30:00;1.876;0.0;0.0;19.0
2010-03-11 07:31:00;1.956;0.0;0.0;18.0
2010-03-11 07:32:00;1.97;0.0;0.0;18.0
2010-03-11 07:33:00;2.07;0.0;0.0;19.0
2010-03-11 07:34:00;2.21;0.0;0.0;18.0
2010-03-11 07:35:00;2.188;0.0;0.0;19.0
2010-03-11 07:36:00;2.158;0.0;0.0;18.0
2010-03-11 07:37:00;2.406;0.0;0.0;19.0
2010-03-11 07:38:00;2.43;0.0;0.0;18.0
2010-03-11 07:39:00;2.402;0.0;0.0;19.0
2010-03-11 07:40:00;2.412;0.0;0.0;18.0
2010-03-11 07:41:00;2.348;0.0;0.0;18.0
2010-03-11 07:42:00;2.292;0.0;0.0;19.0
2010-03-11 07:43:00;2.252;0.0;0.0;18.0
2010-03-11 07:44:00;2.28;0.0;0.0;18.0
2010-03-11 07:45:00;2.274;0.0;0.0;18.0
2010-03-11 07:46:00;2.278;0.0;0.0;19.0
2010-03-11 07:47:00;2.366;0.0;0.0;18.0
2010-03-11 07:48:00;2.392;0.0;0.0;18.0
2010-03-11 07:49:00;2.402;0.0;0.0;19.0
2010-03-11 07:50:00;2.368;0.0;0.0;18.0
2010-03-11 07:51:00;2.322;0.0;0.0;18.0
2010-03-11 07:52:00;2.244;0.0;0.0;19.0
2010-03-11 07:53:00;2.218;0.0;0.0;18.0
2010-03-11 07:54:00;2.19;0.0;0.0;18.0
2010-03-11 07:55:00;2.122;0.0;0.0;18.0
2010-03-11 07:56:00;2.094;0.0;0.0;18.0
2010-03-11 07:57:00;2.098;0.0;0.0;18.0
2010-03-11 07:58:00;2.116;0.0;0.0;19.0
2010-03-11 07:59:00;2.08;0.0;0.0;18.0
2010-03-11 08:00:00;2.216;0.0;0.0;18.0
2010-03-11 08:01:00;2.356;0.0;0.0;18.0
2010-03-11 08:02:00;2.36;0.0;0.0;19.0
2010-03-11 08:03:00;2.366;0.0;0.0;18.0
2010-03-11 08:04:00;2.126;0.0;0.0;18.0
2010-03-11 08:05:00;2.002;0.0;0.0;18.0
2010-03-11 08:06:00;2.002;0.0;0.0;18.0
2010-03-11 08:07:00;2.048;0.0;0.0;19.0
2010-03-11 08:08:00;2.122;0.0;0.0;18.0
2010-03-11 08:09:00;1.94;0.0;0.0;19.0
